company_id,company_name,material_name,material_type,quantity,unit,description,quality_grade,potential_value,ai_generated,generated_at
,DP World,AI Listing 2 for DP World,ai_generated,50,tons,AI-generated material listing 2 for DP World,B,2500,True,2025-07-20T00:39:19.842583
,DP World,Generic Material - DP World,unknown,100,tons,Generic material from DP World,C,2000,True,2025-07-20T00:39:19.842583
,Dubai Aluminium (DUBAL),Steel Scrap,waste,150,tons,Steel scrap from Dubai Aluminium (DUBAL) manufacturing,B,45000,True,2025-07-20T00:39:19.853093
,Dubai Aluminium (DUBAL),Aluminum Waste,waste,50,tons,Aluminum waste from Dubai Aluminium (DUBAL) operations,A,75000,True,2025-07-20T00:39:19.853093
,Dubai Aluminium (DUBAL),AI Listing 1 for Dubai Aluminium (DUBAL),ai_generated,100,tons,AI-generated material listing 1 for Dubai Aluminium (DUBAL),A,5000,True,2025-07-20T00:39:19.853093
,Dubai Aluminium (DUBAL),AI Listing 2 for Dubai Aluminium (DUBAL),ai_generated,50,tons,AI-generated material listing 2 for Dubai Aluminium (DUBAL),B,2500,True,2025-07-20T00:39:19.853093
,Dubai Aluminium (DUBAL),Generic Material - Dubai Aluminium (DUBAL),unknown,100,tons,Generic material from Dubai Aluminium (DUBAL),C,2000,True,2025-07-20T00:39:19.853093
,Saudi Electricity Company (SEC),General Waste,waste,100,tons,General waste from Saudi Electricity Company (SEC) operations,C,20000,True,2025-07-20T00:39:19.869264
,Saudi Electricity Company (SEC),AI Listing 1 for Saudi Electricity Company (SEC),ai_generated,100,tons,AI-generated material listing 1 for Saudi Electricity Company (SEC),A,5000,True,2025-07-20T00:39:19.869264
,Saudi Electricity Company (SEC),AI Listing 2 for Saudi Electricity Company (SEC),ai_generated,50,tons,AI-generated material listing 2 for Saudi Electricity Company (SEC),B,2500,True,2025-07-20T00:39:19.869264
,Saudi Electricity Company (SEC),Generic Material - Saudi Electricity Company (SEC),unknown,100,tons,Generic material from Saudi Electricity Company (SEC),C,2000,True,2025-07-20T00:39:19.869264
,ACWA Power,General Waste,waste,100,tons,General waste from ACWA Power operations,C,20000,True,2025-07-20T00:39:19.882347
,ACWA Power,AI Listing 1 for ACWA Power,ai_generated,100,tons,AI-generated material listing 1 for ACWA Power,A,5000,True,2025-07-20T00:39:19.882347
,ACWA Power,AI Listing 2 for ACWA Power,ai_generated,50,tons,AI-generated material listing 2 for ACWA Power,B,2500,True,2025-07-20T00:39:19.882347
,ACWA Power,Generic Material - ACWA Power,unknown,100,tons,Generic material from ACWA Power,C,2000,True,2025-07-20T00:39:19.882347
,QatarEnergy,Steel Scrap,waste,150,tons,Steel scrap from QatarEnergy manufacturing,B,45000,True,2025-07-20T00:39:19.891879
,QatarEnergy,Aluminum Waste,waste,50,tons,Aluminum waste from QatarEnergy operations,A,75000,True,2025-07-20T00:39:19.891879
,QatarEnergy,AI Listing 1 for QatarEnergy,ai_generated,100,tons,AI-generated material listing 1 for QatarEnergy,A,5000,True,2025-07-20T00:39:19.891879
,QatarEnergy,AI Listing 2 for QatarEnergy,ai_generated,50,tons,AI-generated material listing 2 for QatarEnergy,B,2500,True,2025-07-20T00:39:19.891879
,QatarEnergy,Generic Material - QatarEnergy,unknown,100,tons,Generic material from QatarEnergy,C,2000,True,2025-07-20T00:39:19.891879
,Qatar Fertiliser Company (QAFCO),Steel Scrap,waste,150,tons,Steel scrap from Qatar Fertiliser Company (QAFCO) manufacturing,B,45000,True,2025-07-20T00:39:19.902502
,Qatar Fertiliser Company (QAFCO),Aluminum Waste,waste,50,tons,Aluminum waste from Qatar Fertiliser Company (QAFCO) operations,A,75000,True,2025-07-20T00:39:19.902502
,Qatar Fertiliser Company (QAFCO),AI Listing 1 for Qatar Fertiliser Company (QAFCO),ai_generated,100,tons,AI-generated material listing 1 for Qatar Fertiliser Company (QAFCO),A,5000,True,2025-07-20T00:39:19.902502
,Qatar Fertiliser Company (QAFCO),AI Listing 2 for Qatar Fertiliser Company (QAFCO),ai_generated,50,tons,AI-generated material listing 2 for Qatar Fertiliser Company (QAFCO),B,2500,True,2025-07-20T00:39:19.902502
,Qatar Fertiliser Company (QAFCO),Generic Material - Qatar Fertiliser Company (QAFCO),unknown,100,tons,Generic material from Qatar Fertiliser Company (QAFCO),C,2000,True,2025-07-20T00:39:19.902502
,Oman Oil Company (OOC) / OQ,Steel Scrap,waste,150,tons,Steel scrap from Oman Oil Company (OOC) / OQ manufacturing,B,45000,True,2025-07-20T00:39:19.913379
,Oman Oil Company (OOC) / OQ,Aluminum Waste,waste,50,tons,Aluminum waste from Oman Oil Company (OOC) / OQ operations,A,75000,True,2025-07-20T00:39:19.913379
,Oman Oil Company (OOC) / OQ,AI Listing 1 for Oman Oil Company (OOC) / OQ,ai_generated,100,tons,AI-generated material listing 1 for Oman Oil Company (OOC) / OQ,A,5000,True,2025-07-20T00:39:19.913379
,Oman Oil Company (OOC) / OQ,AI Listing 2 for Oman Oil Company (OOC) / OQ,ai_generated,50,tons,AI-generated material listing 2 for Oman Oil Company (OOC) / OQ,B,2500,True,2025-07-20T00:39:19.913379
,Oman Oil Company (OOC) / OQ,Generic Material - Oman Oil Company (OOC) / OQ,unknown,100,tons,Generic material from Oman Oil Company (OOC) / OQ,C,2000,True,2025-07-20T00:39:19.913379
,Kuwait National Petroleum Company (KNPC),Steel Scrap,waste,150,tons,Steel scrap from Kuwait National Petroleum Company (KNPC) manufacturing,B,45000,True,2025-07-20T00:39:19.925905
,Kuwait National Petroleum Company (KNPC),Aluminum Waste,waste,50,tons,Aluminum waste from Kuwait National Petroleum Company (KNPC) operations,A,75000,True,2025-07-20T00:39:19.925905
,Kuwait National Petroleum Company (KNPC),AI Listing 1 for Kuwait National Petroleum Company (KNPC),ai_generated,100,tons,AI-generated material listing 1 for Kuwait National Petroleum Company (KNPC),A,5000,True,2025-07-20T00:39:19.925905
,Kuwait National Petroleum Company (KNPC),AI Listing 2 for Kuwait National Petroleum Company (KNPC),ai_generated,50,tons,AI-generated material listing 2 for Kuwait National Petroleum Company (KNPC),B,2500,True,2025-07-20T00:39:19.925905
,Kuwait National Petroleum Company (KNPC),Generic Material - Kuwait National Petroleum Company (KNPC),unknown,100,tons,Generic material from Kuwait National Petroleum Company (KNPC),C,2000,True,2025-07-20T00:39:19.925905
,Aluminium Bahrain (Alba),Steel Scrap,waste,150,tons,Steel scrap from Aluminium Bahrain (Alba) manufacturing,B,45000,True,2025-07-20T00:39:19.938448
,Aluminium Bahrain (Alba),Aluminum Waste,waste,50,tons,Aluminum waste from Aluminium Bahrain (Alba) operations,A,75000,True,2025-07-20T00:39:19.938448
,Aluminium Bahrain (Alba),AI Listing 1 for Aluminium Bahrain (Alba),ai_generated,100,tons,AI-generated material listing 1 for Aluminium Bahrain (Alba),A,5000,True,2025-07-20T00:39:19.938448
,Aluminium Bahrain (Alba),AI Listing 2 for Aluminium Bahrain (Alba),ai_generated,50,tons,AI-generated material listing 2 for Aluminium Bahrain (Alba),B,2500,True,2025-07-20T00:39:19.938448
,Aluminium Bahrain (Alba),Generic Material - Aluminium Bahrain (Alba),unknown,100,tons,Generic material from Aluminium Bahrain (Alba),C,2000,True,2025-07-20T00:39:19.938448
,Saudi Basic Industries Corporation (SABIC),Steel Scrap,waste,150,tons,Steel scrap from Saudi Basic Industries Corporation (SABIC) manufacturing,B,45000,True,2025-07-20T00:39:19.952519
,Saudi Basic Industries Corporation (SABIC),Aluminum Waste,waste,50,tons,Aluminum waste from Saudi Basic Industries Corporation (SABIC) operations,A,75000,True,2025-07-20T00:39:19.952519
,Saudi Basic Industries Corporation (SABIC),AI Listing 1 for Saudi Basic Industries Corporation (SABIC),ai_generated,100,tons,AI-generated material listing 1 for Saudi Basic Industries Corporation (SABIC),A,5000,True,2025-07-20T00:39:19.952519
,Saudi Basic Industries Corporation (SABIC),AI Listing 2 for Saudi Basic Industries Corporation (SABIC),ai_generated,50,tons,AI-generated material listing 2 for Saudi Basic Industries Corporation (SABIC),B,2500,True,2025-07-20T00:39:19.952519
,Saudi Basic Industries Corporation (SABIC),Generic Material - Saudi Basic Industries Corporation (SABIC),unknown,100,tons,Generic material from Saudi Basic Industries Corporation (SABIC),C,2000,True,2025-07-20T00:39:19.952519
,Saudi Arabian Mining Company (Ma'aden),Steel Scrap,waste,150,tons,Steel scrap from Saudi Arabian Mining Company (Ma'aden) manufacturing,B,45000,True,2025-07-20T00:39:19.965059
,Saudi Arabian Mining Company (Ma'aden),Aluminum Waste,waste,50,tons,Aluminum waste from Saudi Arabian Mining Company (Ma'aden) operations,A,75000,True,2025-07-20T00:39:19.965059
,Saudi Arabian Mining Company (Ma'aden),AI Listing 1 for Saudi Arabian Mining Company (Ma'aden),ai_generated,100,tons,AI-generated material listing 1 for Saudi Arabian Mining Company (Ma'aden),A,5000,True,2025-07-20T00:39:19.965059
,Saudi Arabian Mining Company (Ma'aden),AI Listing 2 for Saudi Arabian Mining Company (Ma'aden),ai_generated,50,tons,AI-generated material listing 2 for Saudi Arabian Mining Company (Ma'aden),B,2500,True,2025-07-20T00:39:19.965059
,Saudi Arabian Mining Company (Ma'aden),Generic Material - Saudi Arabian Mining Company (Ma'aden),unknown,100,tons,Generic material from Saudi Arabian Mining Company (Ma'aden),C,2000,True,2025-07-20T00:39:19.965059
,Emirates Steel,Steel Scrap,waste,150,tons,Steel scrap from Emirates Steel manufacturing,B,45000,True,2025-07-20T00:39:19.978589
,Emirates Steel,Aluminum Waste,waste,50,tons,Aluminum waste from Emirates Steel operations,A,75000,True,2025-07-20T00:39:19.978589
,Emirates Steel,AI Listing 1 for Emirates Steel,ai_generated,100,tons,AI-generated material listing 1 for Emirates Steel,A,5000,True,2025-07-20T00:39:19.978589
,Emirates Steel,AI Listing 2 for Emirates Steel,ai_generated,50,tons,AI-generated material listing 2 for Emirates Steel,B,2500,True,2025-07-20T00:39:19.978589
,Emirates Steel,Generic Material - Emirates Steel,unknown,100,tons,Generic material from Emirates Steel,C,2000,True,2025-07-20T00:39:19.978589
,Qatar Steel,Steel Scrap,waste,150,tons,Steel scrap from Qatar Steel manufacturing,B,45000,True,2025-07-20T00:39:19.991644
,Qatar Steel,Aluminum Waste,waste,50,tons,Aluminum waste from Qatar Steel operations,A,75000,True,2025-07-20T00:39:19.991644
,Qatar Steel,AI Listing 1 for Qatar Steel,ai_generated,100,tons,AI-generated material listing 1 for Qatar Steel,A,5000,True,2025-07-20T00:39:19.991644
,Qatar Steel,AI Listing 2 for Qatar Steel,ai_generated,50,tons,AI-generated material listing 2 for Qatar Steel,B,2500,True,2025-07-20T00:39:19.991644
,Qatar Steel,Generic Material - Qatar Steel,unknown,100,tons,Generic material from Qatar Steel,C,2000,True,2025-07-20T00:39:19.991644
,Arab Potash Company (APC),Steel Scrap,waste,150,tons,Steel scrap from Arab Potash Company (APC) manufacturing,B,45000,True,2025-07-20T00:39:20.003354
,Arab Potash Company (APC),Aluminum Waste,waste,50,tons,Aluminum waste from Arab Potash Company (APC) operations,A,75000,True,2025-07-20T00:39:20.003354
,Arab Potash Company (APC),AI Listing 1 for Arab Potash Company (APC),ai_generated,100,tons,AI-generated material listing 1 for Arab Potash Company (APC),A,5000,True,2025-07-20T00:39:20.003354
,Arab Potash Company (APC),AI Listing 2 for Arab Potash Company (APC),ai_generated,50,tons,AI-generated material listing 2 for Arab Potash Company (APC),B,2500,True,2025-07-20T00:39:20.003354
,Arab Potash Company (APC),Generic Material - Arab Potash Company (APC),unknown,100,tons,Generic material from Arab Potash Company (APC),C,2000,True,2025-07-20T00:39:20.003354
,Oman Refineries and Petroleum Industries Company (ORPIC) / OQ Refineries,Steel Scrap,waste,150,tons,Steel scrap from Oman Refineries and Petroleum Industries Company (ORPIC) / OQ Refineries manufacturing,B,45000,True,2025-07-20T00:39:20.013874
,Oman Refineries and Petroleum Industries Company (ORPIC) / OQ Refineries,Aluminum Waste,waste,50,tons,Aluminum waste from Oman Refineries and Petroleum Industries Company (ORPIC) / OQ Refineries operations,A,75000,True,2025-07-20T00:39:20.013874
,Oman Refineries and Petroleum Industries Company (ORPIC) / OQ Refineries,AI Listing 1 for Oman Refineries and Petroleum Industries Company (ORPIC) / OQ Refineries,ai_generated,100,tons,AI-generated material listing 1 for Oman Refineries and Petroleum Industries Company (ORPIC) / OQ Refineries,A,5000,True,2025-07-20T00:39:20.013874
,Oman Refineries and Petroleum Industries Company (ORPIC) / OQ Refineries,AI Listing 2 for Oman Refineries and Petroleum Industries Company (ORPIC) / OQ Refineries,ai_generated,50,tons,AI-generated material listing 2 for Oman Refineries and Petroleum Industries Company (ORPIC) / OQ Refineries,B,2500,True,2025-07-20T00:39:20.013874
,Oman Refineries and Petroleum Industries Company (ORPIC) / OQ Refineries,Generic Material - Oman Refineries and Petroleum Industries Company (ORPIC) / OQ Refineries,unknown,100,tons,Generic material from Oman Refineries and Petroleum Industries Company (ORPIC) / OQ Refineries,C,2000,True,2025-07-20T00:39:20.013874
,Saudi Arabian Fertiliser Company (SAFCO),Steel Scrap,waste,150,tons,Steel scrap from Saudi Arabian Fertiliser Company (SAFCO) manufacturing,B,45000,True,2025-07-20T00:39:20.026025
,Saudi Arabian Fertiliser Company (SAFCO),Aluminum Waste,waste,50,tons,Aluminum waste from Saudi Arabian Fertiliser Company (SAFCO) operations,A,75000,True,2025-07-20T00:39:20.026025
,Saudi Arabian Fertiliser Company (SAFCO),AI Listing 1 for Saudi Arabian Fertiliser Company (SAFCO),ai_generated,100,tons,AI-generated material listing 1 for Saudi Arabian Fertiliser Company (SAFCO),A,5000,True,2025-07-20T00:39:20.026025
,Saudi Arabian Fertiliser Company (SAFCO),AI Listing 2 for Saudi Arabian Fertiliser Company (SAFCO),ai_generated,50,tons,AI-generated material listing 2 for Saudi Arabian Fertiliser Company (SAFCO),B,2500,True,2025-07-20T00:39:20.026025
,Saudi Arabian Fertiliser Company (SAFCO),Generic Material - Saudi Arabian Fertiliser Company (SAFCO),unknown,100,tons,Generic material from Saudi Arabian Fertiliser Company (SAFCO),C,2000,True,2025-07-20T00:39:20.026025
,Gulf Petrochemicals Industries Company (GPIC),Steel Scrap,waste,150,tons,Steel scrap from Gulf Petrochemicals Industries Company (GPIC) manufacturing,B,45000,True,2025-07-20T00:39:20.036544
,Gulf Petrochemicals Industries Company (GPIC),Aluminum Waste,waste,50,tons,Aluminum waste from Gulf Petrochemicals Industries Company (GPIC) operations,A,75000,True,2025-07-20T00:39:20.036544
,Gulf Petrochemicals Industries Company (GPIC),AI Listing 1 for Gulf Petrochemicals Industries Company (GPIC),ai_generated,100,tons,AI-generated material listing 1 for Gulf Petrochemicals Industries Company (GPIC),A,5000,True,2025-07-20T00:39:20.036544
,Gulf Petrochemicals Industries Company (GPIC),AI Listing 2 for Gulf Petrochemicals Industries Company (GPIC),ai_generated,50,tons,AI-generated material listing 2 for Gulf Petrochemicals Industries Company (GPIC),B,2500,True,2025-07-20T00:39:20.036544
,Gulf Petrochemicals Industries Company (GPIC),Generic Material - Gulf Petrochemicals Industries Company (GPIC),unknown,100,tons,Generic material from Gulf Petrochemicals Industries Company (GPIC),C,2000,True,2025-07-20T00:39:20.036544
,Nesma & Partners,General Waste,waste,100,tons,General waste from Nesma & Partners operations,C,20000,True,2025-07-20T00:39:20.048081
,Nesma & Partners,AI Listing 1 for Nesma & Partners,ai_generated,100,tons,AI-generated material listing 1 for Nesma & Partners,A,5000,True,2025-07-20T00:39:20.048081
,Nesma & Partners,AI Listing 2 for Nesma & Partners,ai_generated,50,tons,AI-generated material listing 2 for Nesma & Partners,B,2500,True,2025-07-20T00:39:20.048081
,Nesma & Partners,Generic Material - Nesma & Partners,unknown,100,tons,Generic material from Nesma & Partners,C,2000,True,2025-07-20T00:39:20.048081
,Agthia Group PJSC,Steel Scrap,waste,150,tons,Steel scrap from Agthia Group PJSC manufacturing,B,45000,True,2025-07-20T00:39:20.058611
,Agthia Group PJSC,Aluminum Waste,waste,50,tons,Aluminum waste from Agthia Group PJSC operations,A,75000,True,2025-07-20T00:39:20.058611
,Agthia Group PJSC,AI Listing 1 for Agthia Group PJSC,ai_generated,100,tons,AI-generated material listing 1 for Agthia Group PJSC,A,5000,True,2025-07-20T00:39:20.058611
,Agthia Group PJSC,AI Listing 2 for Agthia Group PJSC,ai_generated,50,tons,AI-generated material listing 2 for Agthia Group PJSC,B,2500,True,2025-07-20T00:39:20.058611
,Agthia Group PJSC,Generic Material - Agthia Group PJSC,unknown,100,tons,Generic material from Agthia Group PJSC,C,2000,True,2025-07-20T00:39:20.058611
,Equate Petrochemical Company,Steel Scrap,waste,150,tons,Steel scrap from Equate Petrochemical Company manufacturing,B,45000,True,2025-07-20T00:39:20.071349
,Equate Petrochemical Company,Aluminum Waste,waste,50,tons,Aluminum waste from Equate Petrochemical Company operations,A,75000,True,2025-07-20T00:39:20.071349
,Equate Petrochemical Company,AI Listing 1 for Equate Petrochemical Company,ai_generated,100,tons,AI-generated material listing 1 for Equate Petrochemical Company,A,5000,True,2025-07-20T00:39:20.071349
,Equate Petrochemical Company,AI Listing 2 for Equate Petrochemical Company,ai_generated,50,tons,AI-generated material listing 2 for Equate Petrochemical Company,B,2500,True,2025-07-20T00:39:20.071349
,Equate Petrochemical Company,Generic Material - Equate Petrochemical Company,unknown,100,tons,Generic material from Equate Petrochemical Company,C,2000,True,2025-07-20T00:39:20.071349
,Saudi Cement Company,Steel Scrap,waste,150,tons,Steel scrap from Saudi Cement Company manufacturing,B,45000,True,2025-07-20T00:39:20.081877
,Saudi Cement Company,Aluminum Waste,waste,50,tons,Aluminum waste from Saudi Cement Company operations,A,75000,True,2025-07-20T00:39:20.081877
,Saudi Cement Company,AI Listing 1 for Saudi Cement Company,ai_generated,100,tons,AI-generated material listing 1 for Saudi Cement Company,A,5000,True,2025-07-20T00:39:20.081877
,Saudi Cement Company,AI Listing 2 for Saudi Cement Company,ai_generated,50,tons,AI-generated material listing 2 for Saudi Cement Company,B,2500,True,2025-07-20T00:39:20.081877
,Saudi Cement Company,Generic Material - Saudi Cement Company,unknown,100,tons,Generic material from Saudi Cement Company,C,2000,True,2025-07-20T00:39:20.081877
,QatarEnergy,Steel Scrap,waste,150,tons,Steel scrap from QatarEnergy manufacturing,B,45000,True,2025-07-20T00:39:20.094333
,QatarEnergy,Aluminum Waste,waste,50,tons,Aluminum waste from QatarEnergy operations,A,75000,True,2025-07-20T00:39:20.094333
,QatarEnergy,AI Listing 1 for QatarEnergy,ai_generated,100,tons,AI-generated material listing 1 for QatarEnergy,A,5000,True,2025-07-20T00:39:20.094333
,QatarEnergy,AI Listing 2 for QatarEnergy,ai_generated,50,tons,AI-generated material listing 2 for QatarEnergy,B,2500,True,2025-07-20T00:39:20.094333
,QatarEnergy,Generic Material - QatarEnergy,unknown,100,tons,Generic material from QatarEnergy,C,2000,True,2025-07-20T00:39:20.094333
,Oman Cement Company,Steel Scrap,waste,150,tons,Steel scrap from Oman Cement Company manufacturing,B,45000,True,2025-07-20T00:39:20.105368
,Oman Cement Company,Aluminum Waste,waste,50,tons,Aluminum waste from Oman Cement Company operations,A,75000,True,2025-07-20T00:39:20.105368
,Oman Cement Company,AI Listing 1 for Oman Cement Company,ai_generated,100,tons,AI-generated material listing 1 for Oman Cement Company,A,5000,True,2025-07-20T00:39:20.105368
,Oman Cement Company,AI Listing 2 for Oman Cement Company,ai_generated,50,tons,AI-generated material listing 2 for Oman Cement Company,B,2500,True,2025-07-20T00:39:20.105368
,Oman Cement Company,Generic Material - Oman Cement Company,unknown,100,tons,Generic material from Oman Cement Company,C,2000,True,2025-07-20T00:39:20.105368
,Qatar Aluminium (Qatalum),Steel Scrap,waste,150,tons,Steel scrap from Qatar Aluminium (Qatalum) manufacturing,B,45000,True,2025-07-20T00:39:20.115890
,Qatar Aluminium (Qatalum),Aluminum Waste,waste,50,tons,Aluminum waste from Qatar Aluminium (Qatalum) operations,A,75000,True,2025-07-20T00:39:20.115890
,Qatar Aluminium (Qatalum),AI Listing 1 for Qatar Aluminium (Qatalum),ai_generated,100,tons,AI-generated material listing 1 for Qatar Aluminium (Qatalum),A,5000,True,2025-07-20T00:39:20.115890
,Qatar Aluminium (Qatalum),AI Listing 2 for Qatar Aluminium (Qatalum),ai_generated,50,tons,AI-generated material listing 2 for Qatar Aluminium (Qatalum),B,2500,True,2025-07-20T00:39:20.115890
,Qatar Aluminium (Qatalum),Generic Material - Qatar Aluminium (Qatalum),unknown,100,tons,Generic material from Qatar Aluminium (Qatalum),C,2000,True,2025-07-20T00:39:20.115890
