material_name,material_type,quantity_estimate,quality_grade,processing_requirements,potential_applications,sustainability_score,market_value,ai_generated,generation_timestamp
Dust,waste,3500.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$1750000/month,True,2025-07-20T07:54:53.622048
Electronic_waste,waste,3500.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$1750000/month,True,2025-07-20T07:54:53.622048
Metal_scraps,by_product,1750.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$3500000/month,True,2025-07-20T07:54:53.622048
Plastic_scraps,by_product,1750.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$3500000/month,True,2025-07-20T07:54:53.622048
Glass_waste,by_product,1750.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$3500000/month,True,2025-07-20T07:54:53.622048
Paper_waste,by_product,1750.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$3500000/month,True,2025-07-20T07:54:53.622048
General_industrial_waste,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.623044
Wastewater,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.623044
Dust,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.623044
Electronic_waste,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.623044
Metal_scraps,by_product,350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$700000/month,True,2025-07-20T07:54:53.623044
Plastic_scraps,by_product,350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$700000/month,True,2025-07-20T07:54:53.623044
Glass_waste,by_product,350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$700000/month,True,2025-07-20T07:54:53.623044
Paper_waste,by_product,350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$700000/month,True,2025-07-20T07:54:53.623044
General_industrial_waste,waste,4600.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$2300000/month,True,2025-07-20T07:54:53.624045
Wastewater,waste,4600.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$2300000/month,True,2025-07-20T07:54:53.624045
Dust,waste,4600.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$2300000/month,True,2025-07-20T07:54:53.624045
Electronic_waste,waste,4600.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$2300000/month,True,2025-07-20T07:54:53.624045
Metal_scraps,by_product,2300.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$4600000/month,True,2025-07-20T07:54:53.624045
Plastic_scraps,by_product,2300.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$4600000/month,True,2025-07-20T07:54:53.624045
Glass_waste,by_product,2300.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$4600000/month,True,2025-07-20T07:54:53.624045
Paper_waste,by_product,2300.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$4600000/month,True,2025-07-20T07:54:53.624045
Construction_waste,waste,10000.0 tons/month,industrial,minimal,"['Road_construction', 'Building_materials', 'Landscaping', 'Infrastructure_development']",0.8,$5000000/month,True,2025-07-20T07:54:53.625048
Demolition_waste,waste,10000.0 tons/month,industrial,minimal,"['Road_construction', 'Building_materials', 'Landscaping', 'Infrastructure_development']",0.8,$5000000/month,True,2025-07-20T07:54:53.625048
Wastewater,waste,10000.0 tons/month,industrial,minimal,"['Road_construction', 'Building_materials', 'Landscaping', 'Infrastructure_development']",0.8,$5000000/month,True,2025-07-20T07:54:53.625048
Recycled_aggregates,by_product,5000.0 tons/month,commercial,moderate,"['Road_construction', 'Building_materials', 'Landscaping', 'Infrastructure_development']",0.9,$10000000/month,True,2025-07-20T07:54:53.625048
Reclaimed_materials,by_product,5000.0 tons/month,commercial,moderate,"['Road_construction', 'Building_materials', 'Landscaping', 'Infrastructure_development']",0.9,$10000000/month,True,2025-07-20T07:54:53.625048
Crushed_concrete,by_product,5000.0 tons/month,commercial,moderate,"['Road_construction', 'Building_materials', 'Landscaping', 'Infrastructure_development']",0.9,$10000000/month,True,2025-07-20T07:54:53.625048
General_industrial_waste,waste,4700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$2350000/month,True,2025-07-20T07:54:53.627047
Wastewater,waste,4700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$2350000/month,True,2025-07-20T07:54:53.627047
Dust,waste,4700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$2350000/month,True,2025-07-20T07:54:53.627047
Electronic_waste,waste,4700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$2350000/month,True,2025-07-20T07:54:53.627047
Metal_scraps,by_product,2350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$4700000/month,True,2025-07-20T07:54:53.627047
Plastic_scraps,by_product,2350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$4700000/month,True,2025-07-20T07:54:53.627047
Glass_waste,by_product,2350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$4700000/month,True,2025-07-20T07:54:53.627047
Paper_waste,by_product,2350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$4700000/month,True,2025-07-20T07:54:53.627047
General_industrial_waste,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.628048
Wastewater,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.628048
Dust,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.628048
Electronic_waste,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.628048
Metal_scraps,by_product,350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$700000/month,True,2025-07-20T07:54:53.628048
Plastic_scraps,by_product,350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$700000/month,True,2025-07-20T07:54:53.628048
Glass_waste,by_product,350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$700000/month,True,2025-07-20T07:54:53.628048
Paper_waste,by_product,350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$700000/month,True,2025-07-20T07:54:53.628048
General_industrial_waste,waste,50.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$25000/month,True,2025-07-20T07:54:53.630048
Wastewater,waste,50.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$25000/month,True,2025-07-20T07:54:53.630048
Dust,waste,50.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$25000/month,True,2025-07-20T07:54:53.630048
Electronic_waste,waste,50.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$25000/month,True,2025-07-20T07:54:53.630048
Metal_scraps,by_product,25.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$50000/month,True,2025-07-20T07:54:53.630048
Plastic_scraps,by_product,25.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$50000/month,True,2025-07-20T07:54:53.630048
Glass_waste,by_product,25.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$50000/month,True,2025-07-20T07:54:53.630048
Paper_waste,by_product,25.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$50000/month,True,2025-07-20T07:54:53.630048
General_industrial_waste,waste,85.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$42500/month,True,2025-07-20T07:54:53.631047
Wastewater,waste,85.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$42500/month,True,2025-07-20T07:54:53.631047
Dust,waste,85.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$42500/month,True,2025-07-20T07:54:53.631047
Electronic_waste,waste,85.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$42500/month,True,2025-07-20T07:54:53.631047
Metal_scraps,by_product,42.5 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$85000/month,True,2025-07-20T07:54:53.631047
Plastic_scraps,by_product,42.5 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$85000/month,True,2025-07-20T07:54:53.631047
Glass_waste,by_product,42.5 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$85000/month,True,2025-07-20T07:54:53.631047
Paper_waste,by_product,42.5 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$85000/month,True,2025-07-20T07:54:53.631047
General_industrial_waste,waste,10300.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$5150000/month,True,2025-07-20T07:54:53.633255
Wastewater,waste,10300.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$5150000/month,True,2025-07-20T07:54:53.633255
Dust,waste,10300.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$5150000/month,True,2025-07-20T07:54:53.633255
Electronic_waste,waste,10300.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$5150000/month,True,2025-07-20T07:54:53.633255
Metal_scraps,by_product,5150.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$10300000/month,True,2025-07-20T07:54:53.633255
Plastic_scraps,by_product,5150.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$10300000/month,True,2025-07-20T07:54:53.633255
Glass_waste,by_product,5150.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$10300000/month,True,2025-07-20T07:54:53.633255
Paper_waste,by_product,5150.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$10300000/month,True,2025-07-20T07:54:53.633255
General_industrial_waste,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.634247
Wastewater,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.634247
Dust,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.634247
Electronic_waste,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.634247
Metal_scraps,by_product,350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$700000/month,True,2025-07-20T07:54:53.634247
Plastic_scraps,by_product,350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$700000/month,True,2025-07-20T07:54:53.634247
Glass_waste,by_product,350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$700000/month,True,2025-07-20T07:54:53.634247
Paper_waste,by_product,350.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$700000/month,True,2025-07-20T07:54:53.634247
General_industrial_waste,waste,3200.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$1600000/month,True,2025-07-20T07:54:53.635253
Wastewater,waste,3200.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$1600000/month,True,2025-07-20T07:54:53.635253
Dust,waste,3200.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$1600000/month,True,2025-07-20T07:54:53.635253
Electronic_waste,waste,3200.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$1600000/month,True,2025-07-20T07:54:53.635253
Metal_scraps,by_product,1600.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$3200000/month,True,2025-07-20T07:54:53.635253
Plastic_scraps,by_product,1600.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$3200000/month,True,2025-07-20T07:54:53.635253
Glass_waste,by_product,1600.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$3200000/month,True,2025-07-20T07:54:53.635253
Paper_waste,by_product,1600.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$3200000/month,True,2025-07-20T07:54:53.635253
General_industrial_waste,waste,400.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$200000/month,True,2025-07-20T07:54:53.636248
Wastewater,waste,400.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$200000/month,True,2025-07-20T07:54:53.636248
Dust,waste,400.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$200000/month,True,2025-07-20T07:54:53.636248
Electronic_waste,waste,400.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$200000/month,True,2025-07-20T07:54:53.636248
Metal_scraps,by_product,200.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$400000/month,True,2025-07-20T07:54:53.636248
Plastic_scraps,by_product,200.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$400000/month,True,2025-07-20T07:54:53.636248
Glass_waste,by_product,200.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$400000/month,True,2025-07-20T07:54:53.636248
Paper_waste,by_product,200.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$400000/month,True,2025-07-20T07:54:53.636248
General_industrial_waste,waste,911.4 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$455700/month,True,2025-07-20T07:54:53.637249
Wastewater,waste,911.4 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$455700/month,True,2025-07-20T07:54:53.637249
Dust,waste,911.4 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$455700/month,True,2025-07-20T07:54:53.637249
Electronic_waste,waste,911.4 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$455700/month,True,2025-07-20T07:54:53.637249
Metal_scraps,by_product,455.7 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$911400/month,True,2025-07-20T07:54:53.637249
Plastic_scraps,by_product,455.7 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$911400/month,True,2025-07-20T07:54:53.637249
Glass_waste,by_product,455.7 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$911400/month,True,2025-07-20T07:54:53.637249
Paper_waste,by_product,455.7 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$911400/month,True,2025-07-20T07:54:53.637249
General_industrial_waste,waste,190.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$95000/month,True,2025-07-20T07:54:53.638248
Wastewater,waste,190.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$95000/month,True,2025-07-20T07:54:53.638248
Dust,waste,190.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$95000/month,True,2025-07-20T07:54:53.638248
Electronic_waste,waste,190.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$95000/month,True,2025-07-20T07:54:53.638248
Metal_scraps,by_product,95.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$190000/month,True,2025-07-20T07:54:53.638248
Plastic_scraps,by_product,95.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$190000/month,True,2025-07-20T07:54:53.638248
Glass_waste,by_product,95.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$190000/month,True,2025-07-20T07:54:53.638248
Paper_waste,by_product,95.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$190000/month,True,2025-07-20T07:54:53.638248
General_industrial_waste,waste,500.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$250000/month,True,2025-07-20T07:54:53.639245
Wastewater,waste,500.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$250000/month,True,2025-07-20T07:54:53.639245
Dust,waste,500.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$250000/month,True,2025-07-20T07:54:53.639245
Electronic_waste,waste,500.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$250000/month,True,2025-07-20T07:54:53.639245
Metal_scraps,by_product,250.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$500000/month,True,2025-07-20T07:54:53.639245
Plastic_scraps,by_product,250.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$500000/month,True,2025-07-20T07:54:53.639245
Glass_waste,by_product,250.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$500000/month,True,2025-07-20T07:54:53.639245
Paper_waste,by_product,250.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$500000/month,True,2025-07-20T07:54:53.639245
General_industrial_waste,waste,600.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$300000/month,True,2025-07-20T07:54:53.641784
Wastewater,waste,600.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$300000/month,True,2025-07-20T07:54:53.641784
Dust,waste,600.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$300000/month,True,2025-07-20T07:54:53.641784
Electronic_waste,waste,600.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$300000/month,True,2025-07-20T07:54:53.641784
Metal_scraps,by_product,300.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$600000/month,True,2025-07-20T07:54:53.641784
Plastic_scraps,by_product,300.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$600000/month,True,2025-07-20T07:54:53.641784
Glass_waste,by_product,300.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$600000/month,True,2025-07-20T07:54:53.641784
Paper_waste,by_product,300.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$600000/month,True,2025-07-20T07:54:53.641784
General_industrial_waste,waste,317.9 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$158950/month,True,2025-07-20T07:54:53.642786
Wastewater,waste,317.9 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$158950/month,True,2025-07-20T07:54:53.642786
Dust,waste,317.9 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$158950/month,True,2025-07-20T07:54:53.642786
Electronic_waste,waste,317.9 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$158950/month,True,2025-07-20T07:54:53.642786
Metal_scraps,by_product,159.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$317900/month,True,2025-07-20T07:54:53.642786
Plastic_scraps,by_product,159.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$317900/month,True,2025-07-20T07:54:53.642786
Glass_waste,by_product,159.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$317900/month,True,2025-07-20T07:54:53.642786
Paper_waste,by_product,159.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$317900/month,True,2025-07-20T07:54:53.642786
General_industrial_waste,waste,3200.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$1600000/month,True,2025-07-20T07:54:53.644783
Wastewater,waste,3200.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$1600000/month,True,2025-07-20T07:54:53.644783
Dust,waste,3200.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$1600000/month,True,2025-07-20T07:54:53.644783
Electronic_waste,waste,3200.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$1600000/month,True,2025-07-20T07:54:53.644783
Metal_scraps,by_product,1600.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$3200000/month,True,2025-07-20T07:54:53.644783
Plastic_scraps,by_product,1600.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$3200000/month,True,2025-07-20T07:54:53.644783
Glass_waste,by_product,1600.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$3200000/month,True,2025-07-20T07:54:53.644783
Paper_waste,by_product,1600.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$3200000/month,True,2025-07-20T07:54:53.644783
General_industrial_waste,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.645785
Wastewater,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.645785
Dust,waste,700.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$350000/month,True,2025-07-20T07:54:53.645785
